SELECTED_ASOS_ID,CLIENT,FACILITY_NAME,WSPP7_AM,I24P7_AM,WSPP2_PM,WSPP7_PM,G24P2_PM,G24P5_PM,Q24P5_AM,Q24P2_AM,I24P2_AM,WSPP5_AM,TXNMN_AM,Q24P1_AM,S24P7_AM,TXNP9_PM,S24P2_AM,TXNP5_AM,W24P5_PM,TXNMN_PM,TXNP5_PM,S24P1_AM,I24P1_AM,W24P7_PM,WSPP9_PM,WSPP2_AM,G24P7_PM,I24P5_AM,TXNP1_AM,WSPP9_AM,Q24P9_AM,W24P2_PM,WSPP1_PM,W24P1_PM,S24P5_AM,TXNP2_AM,W24P9_PM,G24P1_PM,SITE,DATE,Q24P7_AM,TXNP9_AM,I24P9_AM,TXNP7_AM,WSPP5_PM,WSPP1_AM,TXNP2_PM,S24P9_AM,TXNP1_PM,G24P9_PM,TXNP7_PM
CQT,EsteMauder,Starview Aerospace Facility,4,0,10,12,19,22,0,0,0,2,48,0,0,72,0,48,11,69,70,0,0,12,12,2,25,0,46,4,0,10,10,9,0,47,14,17,CQT,2025-04-04,0,50,0,49,10,0,68,0,66,27,71
CQT,EsteMauder,Starview Aerospace Facility,4,0,8,10,17,21,0,0,0,4,51,0,0,81,0,51,11,77,77,0,0,13,12,2,26,0,47,4,0,9,8,8,0,49,14,16,CQT,2025-04-05,0,53,0,52,10,2,75,0,73,28,79
CQT,EsteMauder,Starview Aerospace Facility,6,0,10,10,18,21,0,0,0,4,54,0,0,83,0,54,11,80,80,0,0,12,12,4,24,0,49,6,0,10,8,9,0,51,13,16,CQT,2025-04-06,0,57,0,56,10,2,78,0,76,26,82
CQT,EsteMauder,Starview Aerospace Facility,4,0,8,10,14,16,0,0,0,4,55,0,0,79,0,55,9,75,75,0,0,10,10,2,19,0,51,6,0,8,8,8,0,53,11,12,CQT,2025-04-07,0,58,0,57,8,2,73,0,70,22,77
CQT,EsteMauder,Starview Aerospace Facility,4,0,8,10,14,15,0,0,0,2,53,0,0,82,0,53,9,77,77,0,0,10,10,2,19,0,51,4,0,8,8,7,0,52,11,13,CQT,2025-04-08,0,55,0,55,8,2,74,0,73,23,80
CQT,EsteMauder,Starview Aerospace Facility,4,0,8,10,13,15,0,0,0,2,56,0,0,90,0,56,8,85,85,0,0,9,10,2,18,0,52,6,0,7,8,7,0,54,10,11,CQT,2025-04-09,0,59,0,58,8,2,82,0,80,20,87
CQT,EsteMauder,Starview Aerospace Facility,4,0,6,10,14,15,0,0,0,2,59,0,0,91,0,58,9,85,85,0,0,10,10,2,18,0,55,6,0,8,6,7,0,57,10,12,CQT,2025-04-10,0,64,0,61,8,0,82,0,80,20,88
CQT,EsteMauder,Starview Aerospace Facility,4,0,6,10,13,15,0,0,0,2,59,0,0,90,0,58,9,82,82,0,0,10,10,2,17,0,54,4,0,8,4,7,0,56,11,12,CQT,2025-04-11,0,65,0,62,8,2,78,0,73,21,86
SFF,EsteMauder,Redwood Aviation Complex,4,,4,6,12,14,,,,4,37,,,59,,37,10,56,56,,,11,6,4,17,,34,6,,8,4,7,,36,13,10,SFF,2025-04-03,,39,,38,4,2,54,,53,20,58
SFF,EsteMauder,Redwood Aviation Complex,2,0,2,4,6,8,0,0,0,2,34,0,0,65,0,34,6,60,60,0,0,8,4,2,12,0,30,4,0.03,5,2,4,0,31,10,5,SFF,2025-04-04,0.01,37,0,36,2,2,58,0,55,16,62
SFF,EsteMauder,Redwood Aviation Complex,2,0,2,6,6,7,0,0,0,2,36,0,0,69,0,37,5,66,66,0,0,7,6,2,9,0,31,4,0,5,2,4,0,32,8,5,SFF,2025-04-05,0,40,0,40,4,2,64,0,63,10,67
SFF,EsteMauder,Redwood Aviation Complex,4,0,2,4,6,8,0,0,0,2,40,0,0,74,0,41,6,71,71,0,0,7,6,2,10,0,35,4,0,5,2,4,0,36,9,6,SFF,2025-04-06,0,44,0,43,4,2,70,0,68,12,73
SFF,EsteMauder,Redwood Aviation Complex,6,0,8,12,19,24,0,0,0,4,45,0,0,74,0,46,16,64,63,0,0,19,14,2,28,0,39,10,0.09,12,6,10,0,42,22,15,SFF,2025-04-07,0,49,0,47,10,2,60,0,58,32,68
SFF,EsteMauder,Redwood Aviation Complex,8,0,6,10,18,24,0.03,0,0,6,43,0,0,67,0,43,16,62,62,0,0,18,12,4,28,0,39,8,0.22,12,4,9,0,42,22,13,SFF,2025-04-08,0.12,48,0,45,10,4,59,0,57,33,64
SFF,EsteMauder,Redwood Aviation Complex,6,0,4,8,13,18,0,0,0,4,43,0,0,73,0,43,12,66,65,0,0,16,12,4,25,0,39,8,0.15,9,2,7,0,41,19,9,SFF,2025-04-09,0.07,47,0,45,6,2,62,0,60,30,70
SFF,EsteMauder,Redwood Aviation Complex,4,0,4,8,9,13,0,0,0,4,44,0,0,79,0,45,9,71,71,0,0,13,10,2,20,0,38,4,0.01,7,2,5,0,41,17,7,SFF,2025-04-10,0,49,0,47,6,2,67,0,63,25,76
SFF,EsteMauder,Redwood Aviation Complex,6,0,4,10,11,18,0,0,0,4,47,0,0,85,0,48,12,73,76,0,0,17,12,2,25,0,40,8,0.07,8,4,6,0,44,21,8,SFF,2025-04-11,0,53,0,51,6,2,63,0,60,32,82
TPF,EsteMauder,Summerset Cold Storage,12,,6,10,19,21,,,,10,72,,,89,,72,14,87,87,,,15,12,10,22,,70,14,,12,4,11,,71,16,17,TPF,2025-04-03,,74,,73,8,8,86,,85,24,88
TPF,EsteMauder,Summerset Cold Storage,12,0,6,10,17,19,0,0,0,10,72,0,0,89,0,71,13,87,87,0,0,14,12,8,21,0,69,14,0,11,4,10,0,70,15,15,TPF,2025-04-04,0,75,0,73,8,8,86,0,85,22,88
TPF,EsteMauder,Summerset Cold Storage,12,0,8,12,18,20,0,0,0,10,70,0,0,89,0,70,13,87,87,0,0,14,14,10,22,0,68,14,0,12,8,11,0,69,15,16,TPF,2025-04-05,0,73,0,72,10,8,86,0,85,23,88
TPF,EsteMauder,Summerset Cold Storage,12,0,10,14,19,21,0,0,0,10,71,0,0,86,0,71,15,85,85,0,0,16,14,10,23,0,69,14,0,13,10,12,0,70,17,17,TPF,2025-04-06,0,74,0,73,12,10,84,0,83,25,86
TPF,EsteMauder,Summerset Cold Storage,12,0,10,12,21,23,0,0,0,10,71,0,0,86,0,72,16,83,83,0,0,18,14,10,26,0,69,14,0.02,14,10,13,0,71,19,19,TPF,2025-04-07,0,73,0,72,12,10,82,0,81,29,84
TPF,EsteMauder,Summerset Cold Storage,12,0,10,12,17,19,0.25,0.01,0,12,66,0,0,79,0,66,13,73,72,0,0,14,14,10,21,0,60,14,1.2,12,10,11,0,63,16,15,TPF,2025-04-08,0.7,72,0,70,12,10,70,0,68,23,75
TPF,EsteMauder,Summerset Cold Storage,12,0,10,14,16,18,0.04,0,0,12,58,0,0,79,0,59,12,75,75,0,0,14,16,10,20,0,52,14,1.27,11,10,10,0,55,15,14,TPF,2025-04-09,0.49,65,0,61,12,10,73,0,70,23,78
TPF,EsteMauder,Summerset Cold Storage,12,0,8,14,15,17,0,0,0,12,58,0,0,80,0,58,12,76,77,0,0,13,14,8,19,0,53,14,0.09,10,6,9,0,56,14,14,TPF,2025-04-10,0,63,0,61,12,6,74,0,71,21,78
TPF,EsteMauder,Summerset Cold Storage,12,0,8,14,15,17,0,0,0,10,60,0,0,80,0,60,12,76,77,0,0,14,16,6,20,0,56,12,0.1,11,6,10,0,57,16,13,TPF,2025-04-11,0,64,0,62,12,4,75,0,73,23,78
CLT,EsteMauder,Everest Industrial Plant,8,,4,6,25,27,,,,8,66,,,90,,65,15,86,87,,,16,8,6,29,,64,10,,14,4,13,,64,18,23,CLT,2025-04-03,,69,,67,6,6,85,,82,32,89
CLT,EsteMauder,Everest Industrial Plant,8,0,4,6,23,24,0,0,0,6,66,0,0,93,0,66,14,90,91,0,0,15,6,6,27,0,64,8,0.06,12,4,12,0,65,17,21,CLT,2025-04-04,0.02,70,0,68,6,4,89,0,85,31,92
CLT,EsteMauder,Everest Industrial Plant,8,0,6,10,26,29,0,0,0,6,66,0,0,93,0,66,16,91,91,0,0,17,10,6,31,0,63,8,0.03,15,6,14,0,64,19,24,CLT,2025-04-05,0,69,0,68,8,6,90,0,88,34,93
CLT,EsteMauder,Everest Industrial Plant,12,0,8,12,32,35,0,0,0,10,67,0,0,92,0,66,21,89,90,0,0,22,14,8,39,0,64,14,0,19,6,17,0,65,24,30,CLT,2025-04-06,0,70,0,68,10,8,87,0,84,42,91
CLT,EsteMauder,Everest Industrial Plant,8,0,4,8,22,25,0.71,0.31,0,6,60,0.05,0,84,0,61,15,74,74,0,0,18,10,4,29,0,55,10,1.76,13,4,11,0,57,20,20,CLT,2025-04-07,1.16,66,0,64,6,4,70,0,68,35,78
CLT,EsteMauder,Everest Industrial Plant,10,0,4,10,22,26,0.02,0,0,8,46,0,0,71,0,46,15,63,62,0,0,17,12,6,30,0,39,12,1.33,13,4,12,0,42,18,20,CLT,2025-04-08,0.52,52,0,50,8,4,58,0,55,32,67
CLT,EsteMauder,Everest Industrial Plant,6,0,4,6,16,19,0,0,0,6,39,0,0,75,0,39,11,65,64,0,0,13,6,4,23,0,34,8,0,10,2,9,0,36,15,14,CLT,2025-04-09,0,44,0,41,4,2,60,0,56,26,69
CLT,EsteMauder,Everest Industrial Plant,6,0,4,6,17,21,0,0,0,4,43,0,0,79,0,43,12,71,71,0,0,15,8,2,25,0,36,6,0,10,2,8,0,39,17,14,CLT,2025-04-10,0,50,0,46,6,2,68,0,65,29,75
CLT,EsteMauder,Everest Industrial Plant,8,0,4,10,20,24,0,0,0,6,48,0,0,83,0,48,13,74,73,0,0,16,12,4,27,0,41,10,0.16,11,4,10,0,45,19,16,CLT,2025-04-11,0,54,0,52,6,2,69,0,64,33,79
SVN,EsteMauder,Horizon Tech Park,8,,6,8,21,23,,,,6,65,,,87,,65,15,84,84,,,16,8,6,24,,64,8,,13,6,12,,64,17,19,SVN,2025-04-03,,67,,66,6,6,83,,81,26,85
SVN,EsteMauder,Lakeside Processing Facility,8,,6,8,21,23,,,,6,65,,,87,,65,15,84,84,,,16,8,6,24,,64,8,,13,6,12,,64,17,19,SVN,2025-04-03,,67,,66,6,6,83,,81,26,85
SVN,EsteMauder,Horizon Tech Park,6,0,6,6,19,21,0,0,0,6,65,0,0,88,0,65,13,85,85,0,0,14,8,4,22,0,64,8,0,12,4,11,0,64,15,18,SVN,2025-04-04,0,67,0,66,6,4,84,0,83,24,86
SVN,EsteMauder,Lakeside Processing Facility,6,0,6,6,19,21,0,0,0,6,65,0,0,88,0,65,13,85,85,0,0,14,8,4,22,0,64,8,0,12,4,11,0,64,15,18,SVN,2025-04-04,0,67,0,66,6,4,84,0,83,24,86
SVN,EsteMauder,Horizon Tech Park,10,0,12,14,22,25,0,0,0,8,63,0,0,88,0,63,16,87,86,0,0,17,14,8,26,0,61,12,0,14,10,13,0,62,18,21,SVN,2025-04-05,0,65,0,64,12,6,86,0,85,28,87
SVN,EsteMauder,Lakeside Processing Facility,10,0,12,14,22,25,0,0,0,8,63,0,0,88,0,63,16,87,86,0,0,17,14,8,26,0,61,12,0,14,10,13,0,62,18,21,SVN,2025-04-05,0,65,0,64,12,6,86,0,85,28,87
SVN,EsteMauder,Horizon Tech Park,12,0,12,16,24,26,0,0,0,10,65,0,0,90,0,65,17,87,87,0,0,19,17,10,28,0,63,16,0,16,10,15,0,64,21,23,SVN,2025-04-06,0,67,0,66,14,8,86,0,86,31,88
SVN,EsteMauder,Lakeside Processing Facility,12,0,12,16,24,26,0,0,0,10,65,0,0,90,0,65,17,87,87,0,0,19,17,10,28,0,63,16,0,16,10,15,0,64,21,23,SVN,2025-04-06,0,67,0,66,14,8,86,0,86,31,88
SVN,EsteMauder,Horizon Tech Park,12,0,6,12,20,24,0,0,0,10,65,0,0,89,0,65,15,83,84,0,0,17,12,8,27,0,62,14,0.35,13,4,11,0,64,20,18,SVN,2025-04-07,0.02,67,0,66,8,6,79,0,75,30,87
