SELECTED_ASOS_ID,CLIENT,FACILITY_NAME,I06,S06,FORECAST_TIME,Q06,SITE,P06
BKF,EsteMauder,Western Energy Refinery,0,17,1743833191095784000,11,BKF,90
BKF,EsteMauder,Aspen Biotech Center,0,25,1743854791095784000,5,BKF,76
BKF,EsteMauder,Western Energy Refinery,0,25,1743854791095784000,5,BKF,76
BKF,EsteMauder,Aspen Biotech Center,0,8,1743876391095784000,1,BKF,29
BKF,EsteMauder,Western Energy Refinery,0,8,1743876391095784000,1,BKF,29
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743660391095784000,0,ATT,3
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743681991095784000,0,ATT,9
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743703591095784000,0,ATT,9
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743725191095784000,0,ATT,5
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743746791095784000,0,ATT,10
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743768391095784000,1,ATT,14
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743789991095784000,4,ATT,37
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743811591095784000,8,ATT,43
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743833191095784000,13,ATT,45
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743854791095784000,28,ATT,72
ATT,EsteMauder,Willow Creek Textile Mill,0,0,1743876391095784000,11,ATT,48
CMH,EsteMauder,Pinehill Medical Center,0,0,1743660391095784000,34,CMH,87
CMH,EsteMauder,Pinehill Medical Center,0,0,1743681991095784000,37,CMH,98
CMH,EsteMauder,Pinehill Medical Center,0,0,1743703591095784000,5,CMH,55
CMH,EsteMauder,Pinehill Medical Center,0,0,1743725191095784000,1,CMH,51
CMH,EsteMauder,Pinehill Medical Center,0,0,1743746791095784000,37,CMH,86
CMH,EsteMauder,Pinehill Medical Center,0,0,1743768391095784000,34,CMH,92
